KOOZ â€“ BOM,,,,,,,
Part,Value,Device,Package,Description,Vendor,Code,Price
C1,0.1uF,CAP0402-CAP,0402-CAP,Capacitor,TME,0402YD104KAT2A,"0,00247"
C2,0.1uF,CAP0402-CAP,0402-CAP,Capacitor,TME,0402YD104KAT2A,"0,00247"
C3,0.1uF 16V,CAP0402-CAP,0402-CAP,Capacitor,TME,L05B104KO5NNNC,"0,00177"
C4,10uF 25V,CAP0603-CAP,0603-CAP,Capacitor,DIGIKEY,490-7202-1-ND,"0,1189"
C5,0.1uF,CAP0402-CAP,0402-CAP,Capacitor,TME,0402YD104KAT2A,"0,00247"
C6,10uF 25V,CAP0603-CAP,0603-CAP,Capacitor,DIGIKEY,490-7202-1-ND,"0,1189"
C7,1uF,CAP0402-CAP,0402-CAP,Capacitor,TME,CL05A105KQ5NNNC,"0,00297"
C8,0.1uF,CAP0402-CAP,0402-CAP,Capacitor,TME,0402YD104KAT2A,"0,00247"
C9,0.1uF,CAP0402-CAP,0402-CAP,Capacitor,TME,0402YD104KAT2A,"0,00247"
C10,1uF,CAP0402-CAP,0402-CAP,Capacitor,TME,CL05A105KQ5NNNC,"0,00297"
IC1,ZXCT1008,ZXCT1008,SOT23,Current Sensor,DIGIKEY,ZXCT1008FCT-ND,"0,50774"
IC2,AP2112K-3.3TRG1 3.3V,5PIN_REG,SOT23-5,LDO,DIGIKEY,AP2112K-3.3TRG1DICT-ND,"0,12147"
IC3,MCP9700SMD,MCP9700SMD,SOT23-3,Temperature sensor,TME,MCP9700AT-E/TT ,"0,266"
J1,5267-4,5267-4,5267-4,Molex connector,TME,MX-5267-04A,"0,0571"
J2,5267-4,5267-4,5267-4,Molex connector,TME,MX-5267-04A,"0,0571"
R1,"0,05",RESISTOR,1206-RES,Resistor,DIGIKEY,CSR1206FK50L0TR-ND,"0,09827"
R2,1K,RESISTOR0402-RES,0402-RES,Resistor,TME,SMD0402-1K-1% ,"0,0025"
R3,4.7K,RESISTOR,1206-RES,Resistor,TME,SMD1206-4K7,"0,004"
R4,1K,RESISTOR0402-RES,0402-RES,Resistor,TME,SMD0402-1K-1% ,"0,0025"
R5,1K,RESISTOR0402-RES,0402-RES,Resistor,TME,SMD0402-1K-1% ,"0,0025"
U1,LPC1224/25-LQFP48,LPC1224/25-LQFP48,LQFP48,NXP Semiconductors,DIGIKEY,568-5153-ND,"1,87739"
U2,DRV8837,DRV8837,DSG,"Motor driver 1,8A",DIGIKEY,296-34786-2-ND,"0,506"
,,,,,,,Total
,,,,,,,"3,76043"
